,Phrase,Target
0,significant scope impact,0.0
1,monitor compliance,0.0
2,self-service reporting solutions,0.0
3,experience,0.0
4,strong attention detail commitment,1.0
5,recombination techniques,1.0
6,test cases,1.0
7,aim work,0.0
8,job requirements,0.0
9,day,0.0
10,individuals,0.0
11,delivery network — accenture,0.0
12,quantitative analysis,1.0
13,tests,0.0
14,problems,0.0
15,développer,
16,everyone expert everything,0.0
17,long term,0.0
18,equity lightspeeders,0.0
19,implantable medical device,0.0
20,able generate,0.0
21,share,0.0
22,perl,1.0
23,qui ont le souci du détail,
24,resources,1.0
25,cassandra/des/grakn,
26,’ experience data science,1.0
27,executive-facing dashboards track progress,0.0
28,business analyst – job description reporting,0.0
29,complex problems/issues,0.0
30,work,0.0
31,scaling,0.0
32,team passionate,1.0
33,algorithms develop models state art,1.0
34,ability manage,0.0
35,hadoop spark,1.0
36,savings,0.0
37,position report cto manage team,0.0
38,evaluate technical knowledge pertains position,1.0
39,qu'une entreprise,
40,https,1.0
41,increase profitability,0.0
42,identification characterization,0.0
43,classic movies others,0.0
44,fellow data scientists engineers,1.0
45,excellent proficiency computer productivity software,1.0
46,basis,0.0
47,environment benefits,0.0
48,online/offline analysis customer journey,1.0
49,language skills,1.0
50,corporate discount gym membership family downtown halifax,0.0
51,technical reports,1.0
52,etc,0.0
53,unable apply position online require accommodations,0.0
54,accessiblecareers,0.0
55,power platform governance support,0.0
56,business value,0.0
57,sql,1.0
58,work data engineering development team automate ingestions transformations,0.0
59,concepts,0.0
60,cloud solution architect drive,1.0
61,traditional software engineering affords,0.0
62,senior management develop business targets resource requirements,0.0
63,relevant ui technologies,1.0
64,develops,0.0
65,collaborative agile teams,1.0
66,welcome applications,0.0
67,benchmarking,0.0
68,software engineering,1.0
69,knowledge sql,1.0
70,product features,0.0
71,large matrix organizations,0.0
72,cassandra,1.0
73,related field,0.0
74,math,1.0
75,hr,1.0
76,data informs,0.0
77,relevant demonstrable research experience,1.0
78,innovative platform,0.0
79,full-time employees,0.0
80,protect homes,0.0
81,analysis,1.0
82,application process,0.0
83,filtering,1.0
84,loyalty,0.0
85,active projects,0.0
86,egos break,0.0
87,tableau power bi,1.0
88,inclusive workplace culture,1.0
89,high impact initiatives,0.0
90,interest,0.0
91,periscope,1.0
92,career future,0.0
93,power,0.0
94,revenue,0.0
95,mills,0.0
96,global position industry leader innovator,0.0
97,opportunity,0.0
